Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-20.0	0.0	-20.0	-20.0	-21.3	21.38481	0.0	-70.0	2780.0	3159.28	4999	8.027195	4.4070287	25.676086	-0.08308335	8.027827	4.405826	25.207285	-0.019812271	-4.35004	1.0947427	7.3129377	-10.67531	-8.942043	0.3621308	1051.0476417541504
2	-45.0	25.0	-20.0	-70.0	-17.2	20.20297	0.0	-50.0	2332.5	3416.0	9999	35.920097	19.684645	146.23175	13.981302	35.920624	19.686049	147.54198	14.196761	2.1633153	5.667176	17.687273	-14.466537	-39.202118	6.6008954	8691.476729393005
3	-20.0	0.0	-20.0	-20.0	-20.5	19.868317	0.0	-50.0	2556.0	3134.33	14999	81.86377	13.6538315	169.43573	0.10133259	81.86266	13.660699	169.93248	-5.6499004	0.94723254	3.756575	21.628498	-14.471491	-82.73318	13.019003	9757.720288038254
4	-22.0	16.0	0.0	-50.0	-19.7	13.073256	0.0	-50.0	1855.6	1617.68	19999	76.47252	18.265041	341.87515	-155.77724	76.471634	18.29382	360.4193	-160.86322	-2.634628	2.9129484	205.41032	-13.586998	-77.11054	18.53542	10517.614599227905
5	-30.0	14.142136	-20.0	-50.0	-15.2	16.821413	0.0	-50.0	617.6667	3521.49	24999	73.313225	14.905088	204.83578	-145.20453	73.31734	14.882287	191.84233	-147.87631	-3.47975	2.2239778	38.219948	-15.429479	-73.949745	18.154705	11869.99285364151
6	-10.0	10.0	0.0	-20.0	-20.5	19.868317	0.0	-50.0	3276.5	3276.46	29999	71.224976	9.871615	127.42972	-88.274704	71.22635	9.863038	127.12276	-83.96458	-3.934848	1.8803614	26.697931	-13.55263	-71.8728	10.474982	13134.823421955109
7	-25.0	25.0	0.0	-50.0	-17.4	20.130573	0.0	-50.0	3476.5	3554.71	34999	70.453156	7.9581656	102.054016	-89.15819	70.45318	7.9595637	102.105064	-91.178825	-4.1846366	1.541153	36.277836	-13.482096	-71.185974	6.715508	14318.499938726425
8	-50.0	0.0	-50.0	-50.0	-21.3	23.394659	0.0	-70.0	4343.0	3514.92	39999	70.81919	8.30931	100.47874	-94.274734	70.81888	8.314055	102.66421	-99.86257	-4.337585	1.4576768	48.517956	-12.753145	-71.592354	5.956801	15495.441057682037
9	-35.0	15.0	-20.0	-50.0	-15.1	17.521132	0.0	-50.0	2950.5	3538.99	44999	70.39232	12.0649605	122.91802	-94.08384	70.39205	12.067825	122.77992	-95.97788	-4.362062	1.4548093	31.918707	-14.274166	-71.17154	5.1878815	16671.48198056221
10	-50.0	0.0	-50.0	-50.0	-14.7	18.245821	0.0	-50.0	672.0	3710.95	49999	71.0193	13.47519	204.69818	-99.38459	71.01757	13.480702	196.56781	-93.72439	-4.426285	1.2745751	55.40958	-14.259583	-71.80016	6.406589	17874.294708013535
11	-50.0	0.0	-50.0	-50.0	-18.3	16.914787	0.0	-50.0	4283.0	3173.18	54999	72.345566	12.939445	87.13454	-242.7157	72.34389	12.950292	96.75588	-254.4523	-4.418321	1.3799245	118.39467	-12.523006	-73.132	6.2137	18961.851537942886
12	-20.0	0.0	-20.0	-20.0	-14.5	17.051394	0.0	-50.0	4253.0	3716.54	59999	73.27486	13.077167	89.48755	-330.45068	73.2753	13.073887	99.65021	-358.3017	-4.4487166	1.3959562	105.53445	-10.927333	-74.04893	8.54845	20166.508605718613
13	-35.0	15.0	-20.0	-50.0	-17.9	20.798798	0.0	-100.0	967.5	3567.11	64999	74.222404	13.152614	89.17856	-138.11153	74.223434	13.150768	89.47617	-152.77318	-4.4526677	1.3590616	26.702477	-11.712987	-75.018234	6.247942	21342.70138812065
14	-45.0	25.0	-20.0	-70.0	-20.5	19.098429	0.0	-50.0	2644.5	3357.93	69999	75.304504	12.648341	87.90728	-121.86369	75.30382	12.654028	88.037415	-135.36273	-4.454678	1.3131709	32.964127	-13.203047	-76.120735	6.5412736	22481.74578499794
15	-35.0	15.0	-20.0	-50.0	-16.4	19.46895	0.0	-100.0	3794.0	3418.74	74999	76.502495	12.479117	87.60997	-86.64955	76.502	12.483009	87.53623	-97.12161	-4.488189	1.2695049	36.1864	-11.678928	-77.32332	5.528408	23634.94555091858
16	-50.0	0.0	-50.0	-50.0	-16.2	19.01473	0.0	-50.0	1144.0	3412.1	79999	77.11342	13.1874485	87.38376	-92.05345	77.11254	13.193727	87.13946	-85.514015	-4.490832	1.280518	22.774303	-11.359459	-77.93653	6.6243687	24790.673491239548
17	-50.0	0.0	-50.0	-50.0	-15.5	19.045998	0.0	-50.0	5000.0	3627.11	84999	77.658455	13.602948	89.34024	-90.38659	77.65759	13.606545	89.53155	-92.28194	-4.4896655	1.2632298	27.072147	-12.034407	-78.478714	11.310086	25996.655186653137
