Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-32.22222	6.2853937	-30.0	-50.0	-47.8	6.2577953	-30.0	-50.0	541.44446	610.69	4999	9.376078	6.279719	32.066254	-17.415413	9.37433	6.2943616	32.071476	-33.33655	-0.9120528	3.1446288	12.352152	-14.108632	-10.7121725	5.083912	760.2072832584381
2	-36.666668	9.42809	-30.0	-50.0	-47.6	6.49923	-30.0	-50.0	845.3333	452.54	9999	105.024994	74.21743	405.53098	-13.150378	105.02504	74.22597	394.04504	-48.345253	12.032866	5.435914	33.83338	-14.079114	-117.292534	89.67595	1485.8099913597107
3	-44.285713	9.035079	-30.0	-50.0	-48.4	5.425864	-30.0	-50.0	626.7143	942.59	14999	306.40466	44.74032	579.6385	74.103806	306.4066	44.824425	576.4058	-55.81918	12.823788	4.354284	58.5498	-11.527666	-310.3758	545.9819	2332.167685508728
4	-41.42857	9.897433	-30.0	-50.0	-38.8	9.92774	-30.0	-50.0	508.0	938.75	19999	296.81448	63.811302	700.9351	43.45755	296.81525	63.949707	695.29803	-91.73373	10.452069	3.5318143	62.062912	-8.196377	-299.48	699.2205	3180.6765491962433
5	-42.5	9.682458	-30.0	-50.0	-38.7	11.545996	20.0	-50.0	870.75	699.61	24999	287.12527	84.93599	786.683	-102.9806	287.1288	85.07535	783.449	-174.1631	10.616138	3.7448292	72.21666	-11.059966	-289.79697	818.78503	3985.381716966629
6	-36.666668	9.42809	-30.0	-50.0	-46.8	7.332121	-30.0	-50.0	504.33334	582.55	29999	280.5877	98.719315	1011.1524	-187.43239	280.59006	98.797226	1005.9732	-182.7763	10.97374	4.7833123	95.89159	-9.451609	-283.58987	823.7135	4768.611583948135
7	-45.625	12.732218	-30.0	-80.0	-41.8	9.836666	-30.0	-50.0	300.5625	481.52	34999	288.98126	118.00649	1508.658	-167.75699	288.9803	118.040794	1497.6377	-148.2091	12.844103	4.4627514	75.535995	-11.330174	-291.9768	1071.18	5568.625885009766
8	-50.0	0.0	-50.0	-50.0	-42.3	11.38903	20.0	-50.0	809.4286	694.22	39999	283.55966	149.19489	2137.3354	-223.4759	283.56674	149.18594	2116.4824	-191.55426	13.369709	4.5504827	95.713745	-7.385631	-286.29065	1476.972	6376.846598625183
9	-43.75	16.535946	-30.0	-80.0	-37.7	11.38903	20.0	-50.0	617.125	807.18	44999	303.16034	257.68146	2883.0513	-171.96709	303.17865	257.71555	2825.951	-173.49745	16.803667	4.7528477	95.43862	-6.166125	-308.65372	2139.6057	7486.180801153183
10	-30.0	0.0	-30.0	-30.0	-38.6	9.901515	-30.0	-50.0	1234.5	820.02	49999	381.27512	291.8925	3837.1086	-236.98866	381.29196	291.84378	3814.4827	-195.21988	16.37801	5.000637	98.81042	-4.109314	-385.17755	2339.3113	8328.062002420425
11	-44.285713	9.035079	-30.0	-50.0	-38.2	9.836666	-30.0	-50.0	682.4286	688.2	54999	349.08835	291.84753	4989.8755	-144.25836	349.09103	291.79895	4948.627	-146.32092	16.465584	5.5428967	96.00903	-9.428781	-352.32745	2794.464	9143.441564559937
12	-44.0	9.165152	-30.0	-50.0	-40.6	9.981985	-30.0	-50.0	515.2	695.28	59999	383.1439	294.42758	5431.9756	-167.46074	383.15564	294.4004	5353.5986	-173.94498	13.53543	5.6814427	74.90997	-7.5649333	-389.75806	3696.5664	9972.254600048065
13	-50.0	0.0	-50.0	-50.0	-46.6	7.5126553	-30.0	-50.0	582.25	454.02	64999	412.45358	278.28564	5651.73	-322.0824	412.4561	278.36578	5631.514	-436.03345	12.710963	5.69112	77.55171	-6.3785305	-417.68216	3858.7888	10739.525020599365
14	-47.77778	6.2853937	-30.0	-50.0	-49.3	5.339475	-30.0	-80.0	595.55554	607.16	69999	468.22	286.8583	6194.706	-534.45135	468.22397	286.89386	6142.369	-460.59564	18.594719	5.8197513	93.59931	-4.2465897	-476.6416	4162.6816	11622.162757635117
