Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-4002.03	0.0	-4002.03	-4002.03	-3216.4172	2751.661	1940.59	-8366.675	4799.0	2807.74	4999	14399.313	2887.9333	26785.244	2308.6514	14399.336	2887.653	26860.617	2098.133	56.0985	30.738365	602.8477	8.289809	-14674.332	18162.605	916.3518359661102
2	-8757.304	0.0	-8757.304	-8757.304	-3610.713	2832.8245	1142.896	-10826.637	4799.0	3250.24	9999	17196.53	4087.5483	44000.918	-1083.3636	17196.623	4085.8318	51182.785	-379.34357	64.37603	45.83776	1535.2073	14.657948	-17398.25	270523.53	1956.9501185417175
3	-5202.783	0.0	-5202.783	-5202.783	-3482.9836	2646.3901	1649.0427	-6792.7104	1642.0	2660.15	14999	17708.076	4093.8604	71516.14	-807.6153	17708.012	4090.3984	71630.15	-3442.851	70.12807	57.174946	1910.1794	11.1388	-17914.928	736698.75	2886.552989244461
4	-5617.3555	568.38306	-5048.972	-6185.7383	-2993.7488	2619.3884	1200.0509	-8702.041	2730.5	3024.72	19999	18043.783	4950.5986	41348.21	1113.5848	18044.15	4948.9224	40850.77	171.50616	59.591007	41.985195	1134.4961	8.392892	-18236.06	511126.7	3994.8700053691864
5	-2270.8608	170.56482	-2100.2961	-2441.4258	-3839.817	2994.788	1375.984	-13384.87	1963.5	3016.75	24999	17860.186	5611.8354	41200.87	173.55101	17859.912	5612.5884	41001.56	1488.2257	55.53483	33.3437	1119.7432	8.399794	-18083.477	440297.97	5003.127987384796
6	-5932.2188	564.6088	-5023.146	-6476.225	-3975.6921	2769.7053	1865.973	-15540.233	2305.0	2303.14	29999	18436.88	6190.432	47391.17	-12131.346	18436.525	6189.6104	47521.32	-8517.52	66.88413	56.6835	1275.7325	5.8205214	-18705.361	415991.4	5886.597464323044
7	-5038.835	36.35498	-5002.48	-5075.19	-4169.352	3078.7942	1764.8478	-17195.71	1290.0	2494.39	34999	19560.775	7609.1235	62889.85	-10859.713	19560.588	7609.5967	62977.97	-9699.463	72.37117	54.599693	1104.8472	6.6461945	-19814.623	587826.8	6821.177672863007
8	-5573.5625	2019.9302	-3553.6323	-7593.4927	-3177.6162	3243.931	1896.4027	-16117.203	3686.0	3277.44	39999	20428.068	8747.113	68471.23	-8052.399	20427.752	8747.445	68938.22	-7882.644	73.7827	50.143738	938.5729	6.7914395	-20686.215	716822.06	7912.969212055206
9	-4383.237	1665.0591	-2103.648	-6034.1465	-3834.4353	2966.7173	1426.1301	-14167.331	1240.6666	3191.24	44999	21013.166	9214.229	71775.625	-15942.883	21012.627	9214.854	71901.734	-17056.893	71.981384	44.031277	898.9492	5.502959	-21267.0	776698.25	8987.408428907394
10	-5410.219	200.48492	-5137.424	-5613.5366	-3557.4387	2580.9465	1961.2089	-13034.882	1941.3334	3134.01	49999	21166.57	9467.084	77881.836	-22049.53	21166.385	9467.936	77665.33	-23520.416	71.992195	48.967365	1164.1237	4.676152	-21412.22	801319.0	10052.736232757568
11	-5346.6665	240.69688	-5015.1323	-5579.2646	-4416.003	2754.6387	810.6503	-15033.108	1635.0	2973.94	54999	21505.393	9444.087	77960.46	-71970.4	21505.0	9443.197	77934.27	-59668.17	76.87463	59.711838	3196.9038	5.21343	-21751.924	1214295.5	11093.84480881691
12	-6735.698	0.0	-6735.698	-6735.698	-4400.1836	2921.078	1097.777	-17360.105	4799.0	3161.57	59999	22090.844	8677.294	95563.96	-55943.383	22090.932	8676.788	90574.87	-54469.754	75.44146	49.730206	2983.689	8.663644	-22299.193	875686.6	12173.989601135254
13	-4235.56	1484.3887	-2236.675	-5790.393	-3472.0278	2777.6746	1771.0221	-10368.964	1845.6666	3276.37	64999	21368.188	8028.433	92043.016	-59920.27	21368.045	8028.524	91881.1	-60036.516	73.042435	47.468067	1567.9497	7.65289	-21548.441	763186.56	13288.514144182205
