Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1000.0	0.0	-1000.0	-1000.0	-2720.0	2366.77	2000.0	-5000.0	2623.0	2474.59	4999	6.51793	11.393434	132.91196	-703.2137	6.5936656	10.147743	132.64911	-673.2404	-3.8188488	1.7547258	108.3844	-13.203379	-7.2176623	251.41585	764.7492074966431
2	2000.0	0.0	2000.0	2000.0	-1170.0	2753.38	2000.0	-5000.0	4799.0	3206.09	9999	33.81117	41.225506	1197.2667	-760.4586	33.79166	41.006817	1019.158	-746.3652	4.353901	9.005525	119.4823	-12.988461	-40.120308	541.6265	1670.8770415782928
3	-1000.0	0.0	-1000.0	-1000.0	-2530.0	2551.294	2000.0	-5000.0	2233.0	2332.84	14999	209.78944	129.41658	2597.0193	-4156.285	209.79669	129.40091	2526.0032	-4209.7373	10.793055	7.881499	767.8756	-12.667913	-215.8803	905.0806	2427.853948354721
4	-1000.0	0.0	-1000.0	-1000.0	-2670.0	2807.3298	2000.0	-5000.0	1904.0	2734.43	19999	256.6879	209.67934	3456.0776	-3263.9497	256.67834	209.65181	3408.2957	-3461.566	8.361621	7.1104703	616.09436	-12.26902	-260.51852	1567.4718	3242.1118907928467
5	-3000.0	2000.0	-1000.0	-5000.0	-2450.0	2695.83	2000.0	-5000.0	4515.5	2431.53	24999	317.04034	419.2093	5773.695	-2518.7014	316.98615	419.24112	5723.528	-2839.9219	8.16191	7.897592	415.6946	-11.504916	-320.9309	1869.599	3992.8606119155884
6	-1000.0	0.0	-1000.0	-1000.0	-2390.0	2387.0273	2000.0	-5000.0	1846.0	2146.12	29999	373.83978	478.54333	6067.437	-7391.6323	373.80914	478.5374	5985.335	-8134.5186	8.131736	7.8560085	877.9051	-12.829704	-378.85123	3457.2383	4694.160683393478
7	-1800.0	1600.0	-1000.0	-5000.0	-1940.0	2411.7212	2000.0	-5000.0	1040.6	2645.22	34999	414.69366	416.09985	22586.547	-3686.797	414.7776	417.43985	22248.717	-3803.0706	10.002885	7.309941	686.9854	-11.002023	-424.0812	30461.986	5490.36038851738
8	500.0	1500.0	2000.0	-1000.0	-1670.0	2494.2134	2000.0	-5000.0	3089.0	2852.97	39999	492.035	403.95273	5557.5986	-2850.1216	491.88785	404.0075	5552.948	-2963.2837	11.174142	7.205831	385.91602	-8.831472	-499.49365	5021.738	6321.68732047081
9	-3000.0	2000.0	-1000.0	-5000.0	-3750.0	2397.3943	2000.0	-5000.0	958.0	2333.02	44999	525.9594	454.46045	27985.352	-2867.9165	525.883	454.893	28304.873	-2900.376	9.073804	8.666998	892.48663	-9.487299	-532.1666	16164.197	7064.828114271164
10	-3000.0	2000.0	-1000.0	-5000.0	-2020.0	2580.6199	2000.0	-6000.0	2789.5	2720.93	49999	522.42664	353.98288	18036.002	-2872.7856	522.2381	354.06693	18173.469	-2823.8162	10.536209	9.441562	607.2848	-11.738335	-530.7485	13761.546	7877.809322595596
11	-1500.0	3500.0	2000.0	-5000.0	-970.0	2071.0142	2000.0	-5000.0	3752.5	2906.29	54999	581.3956	289.33154	8135.276	-2590.93	581.232	290.05405	7559.9004	-4339.971	11.059048	9.007197	620.4933	-12.226938	-591.7634	9662.493	8725.803487300873
12	2000.0	0.0	2000.0	2000.0	-810.0	2476.6711	2000.0	-5000.0	4799.0	3218.0	59999	693.3552	385.5727	7966.775	-3527.681	693.24725	385.8346	7742.5713	-4806.7593	12.719378	9.5934925	795.12537	-7.226358	-705.9482	11678.52	9624.923493146896
13	-2333.3333	1885.618	-1000.0	-5000.0	-840.0	2365.2483	2000.0	-5000.0	1453.3334	3183.56	64999	776.27606	535.2724	10409.236	-4085.0498	776.1395	534.89	10129.313	-4411.2686	14.58228	11.774117	933.22516	-7.5577717	-788.73254	19998.266	10525.989796876907
14	-1000.0	0.0	-1000.0	-1000.0	-1550.0	2750.909	2000.0	-5000.0	1434.0	3149.22	69999	921.28644	769.9799	13622.825	-26952.805	921.09406	768.05365	13198.442	-28615.076	21.012634	14.7125435	2153.664	-5.9930444	-938.629	35642.73	11425.638813018799
15	2000.0	0.0	2000.0	2000.0	-1860.0	2705.6238	2000.0	-5000.0	4799.0	2857.18	74999	1271.4446	1457.6512	64448.69	-7889.5796	1271.1975	1454.0033	64010.08	-6983.1763	23.779331	15.958503	1807.1033	-4.9458513	-1311.5529	74021.17	12278.864303827286
